Id,first name,last name,gender,Phone,mail_id,dob,attendance,study hours,maths assignment,maths viva,physics assignment,physics viva,che assignment,che viva,Parental Involvement,Failures,t1_m,t1_p,t1_c,t2_m,t2_p,t2_c,t3_m,t3_p,t3_c,t4_m,t4_p,t4_c,t5_m(calc),t5_p(calc),t5_c(calc)
28838,Chad,Mcmahon,male,8287773025.0,Chad_28838@gmail.com,2004-9-22,9.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,12.0,14.0,23.0,11.0,15.0,12.0,15.0,20.0,15.0,23.0,19.0,11.0,19.0,17.0,12.0
28839,Betty,Kennedy,female,6810997224.0,Betty_28839@gmail.com,2004-2-12,0.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,10.0,0.0,6.0,9.0,10.0,8.0,7.0,2.0,10.0,5.0,9.0,10.0,2.0,9.0,4.0
28840,Phillip,Hayes,female,7917866636.0,Phillip_28840@gmail.com,2003-2-20,96.0,8.0,10.0,9.0,9.0,9.0,10.0,10.0,2.0,0.0,119.0,113.0,116.0,115.0,116.0,116.0,117.0,116.0,116.0,118.0,110.0,120.0,115.0,111.0,120.0
28841,Chelsea,Wilson,female,7603582684.0,Chelsea_28841@gmail.com,2003-4-17,91.0,0.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,0.0,109.0,109.0,110.0,107.0,109.0,106.0,109.0,106.0,105.0,107.0,108.0,108.0,110.0,106.0,105.0
28842,Zachary,Drake,male,7895534979.0,Zachary_28842@gmail.com,2003-11-8,90.0,5.0,8.0,8.0,8.0,9.0,8.0,8.0,5.0,0.0,105.0,103.0,102.0,100.0,101.0,104.0,104.0,103.0,105.0,103.0,102.0,104.0,100.0,104.0,100.0
28843,Christopher,Stout,male,6988084500.0,Christopher_28843@gmail.com,2002-5-28,80.0,4.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,0.0,97.0,97.0,97.0,99.0,100.0,98.0,96.0,97.0,96.0,99.0,100.0,100.0,100.0,96.0,97.0
28844,Andrew,King,female,7784287098.0,Andrew_28844@gmail.com,2002-10-10,77.0,0.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,0.0,91.0,90.0,92.0,95.0,92.0,94.0,92.0,94.0,93.0,93.0,90.0,94.0,95.0,91.0,93.0
28845,Ryan,Estrada,male,7362332494.0,Ryan_28845@gmail.com,2003-9-22,74.0,2.0,8.0,8.0,7.0,8.0,7.0,7.0,10.0,0.0,87.0,89.0,87.0,86.0,87.0,88.0,88.0,88.0,87.0,87.0,86.0,88.0,88.0,89.0,90.0
28846,Brian,Foster,male,8536652374.0,Brian_28846@gmail.com,2002-9-26,69.0,3.0,7.0,7.0,6.0,7.0,6.0,7.0,3.0,0.0,81.0,83.0,81.0,80.0,82.0,84.0,84.0,81.0,83.0,80.0,81.0,85.0,54.0,58.0,71.0
28847,Jessica,Davis,male,8567173514.0,Jessica_28847@gmail.com,2004-7-7,63.0,4.0,7.0,6.0,7.0,7.0,7.0,7.0,10.0,0.0,80.0,77.0,77.0,77.0,77.0,75.0,80.0,75.0,79.0,75.0,76.0,79.0,77.0,80.0,80.0
28848,Alexis,Day,male,7055792537.0,Alexis_28848@gmail.com,2004-3-13,56.0,0.0,6.0,5.0,6.0,5.0,6.0,5.0,3.0,0.0,75.0,75.0,70.0,71.0,74.0,75.0,72.0,73.0,73.0,72.0,70.0,74.0,74.0,73.0,73.0
28849,Tiffany,Jones,male,7622746693.0,Tiffany_28849@gmail.com,2004-9-12,50.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0,10.0,0.0,66.0,69.0,65.0,70.0,66.0,65.0,68.0,65.0,68.0,66.0,67.0,66.0,67.0,69.0,67.0
28850,Benjamin,Todd,female,8352018789.0,Benjamin_28850@gmail.com,2004-6-16,49.0,8.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,0.0,65.0,61.0,62.0,65.0,63.0,61.0,63.0,63.0,61.0,62.0,62.0,61.0,63.0,64.0,60.0
28851,Nicole,Houston,female,7276567073.0,Nicole_28851@gmail.com,2002-2-28,43.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,0.0,59.0,55.0,56.0,60.0,58.0,57.0,58.0,56.0,55.0,57.0,55.0,55.0,55.0,56.0,59.0
28852,Julie,Ramirez,female,7668182320.0,Julie_28852@gmail.com,2004-3-17,35.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,0.0,51.0,51.0,54.0,55.0,50.0,50.0,53.0,52.0,54.0,50.0,51.0,51.0,54.0,51.0,50.0
28853,Michael,Clay,male,7245497869.0,Michael_28853@gmail.com,2003-10-4,32.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,6.0,0.0,50.0,48.0,48.0,48.0,47.0,47.0,47.0,46.0,45.0,45.0,48.0,46.0,45.0,47.0,50.0
28854,Cody,Miller,male,6324743936.0,Cody_28854@gmail.com,2003-3-21,29.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,7.0,0.0,40.0,41.0,45.0,41.0,42.0,40.0,41.0,41.0,41.0,41.0,43.0,45.0,40.0,44.0,40.0
28855,Jared,Kelley,male,8944208811.0,Jared_28855@gmail.com,2003-9-17,20.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,9.0,0.0,36.0,35.0,39.0,37.0,40.0,39.0,39.0,39.0,40.0,38.0,36.0,37.0,40.0,37.0,35.0
28856,Brittney,Gordon,female,8169793765.0,Brittney_28856@gmail.com,2003-5-13,17.0,8.0,1.0,2.0,1.0,2.0,1.0,1.0,9.0,0.0,32.0,33.0,30.0,30.0,30.0,34.0,33.0,30.0,32.0,30.0,35.0,33.0,32.0,34.0,35.0
28857,Michael,Reynolds,female,7287087770.0,Michael_28857@gmail.com,2004-2-28,11.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,0.0,25.0,28.0,29.0,27.0,30.0,29.0,26.0,27.0,26.0,27.0,30.0,28.0,29.0,28.0,30.0
28858,Tracy,Costa,male,7658171249.0,Tracy_28858@gmail.com,2002-4-11,6.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,19.0,10.0,25.0,21.0,18.0,12.0,11.0,15.0,12.0,18.0,10.0,20.0,14.0,14.0,19.0
28859,Duane,Faulkner,male,8934890678.0,Duane_28859@gmail.com,2004-9-19,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,9.0,9.0,5.0,3.0,5.0,10.0,3.0,7.0,2.0,2.0,2.0,5.0,5.0,2.0,0.0
28860,Xavier,Walter,female,9305947552.0,Xavier_28860@gmail.com,2002-11-2,98.0,7.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,0.0,120.0,114.0,111.0,111.0,119.0,116.0,120.0,112.0,111.0,110.0,116.0,117.0,118.0,111.0,117.0
28861,Daniel,Soto,male,7619610531.0,Daniel_28861@gmail.com,2002-4-21,92.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,0.0,107.0,110.0,105.0,106.0,110.0,110.0,108.0,110.0,109.0,107.0,109.0,108.0,107.0,106.0,110.0
28862,Keith,Schultz,female,6944601682.0,Keith_28862@gmail.com,2004-5-26,89.0,0.0,9.0,8.0,8.0,8.0,8.0,8.0,5.0,0.0,102.0,104.0,105.0,100.0,104.0,103.0,102.0,104.0,100.0,100.0,102.0,101.0,101.0,103.0,100.0
28863,Katherine,Wells,male,8562541219.0,Katherine_28863@gmail.com,2004-8-23,81.0,4.0,8.0,9.0,9.0,8.0,8.0,9.0,6.0,0.0,95.0,95.0,99.0,95.0,98.0,98.0,95.0,99.0,98.0,100.0,98.0,95.0,99.0,95.0,100.0
28864,John,Wells,male,8307176402.0,John_28864@gmail.com,2002-11-25,76.0,4.0,8.0,7.0,7.0,7.0,8.0,7.0,9.0,0.0,90.0,93.0,93.0,90.0,95.0,94.0,93.0,90.0,91.0,93.0,93.0,95.0,90.0,90.0,95.0
28865,Ivan,Wood,female,6551907415.0,Ivan_28865@gmail.com,2004-2-10,74.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,0.0,87.0,87.0,90.0,89.0,88.0,88.0,85.0,85.0,85.0,90.0,86.0,86.0,85.0,87.0,86.0
28866,Michael,Cook,male,8838871492.0,Michael_28866@gmail.com,2004-4-15,65.0,3.0,6.0,7.0,7.0,7.0,6.0,6.0,8.0,0.0,84.0,80.0,85.0,85.0,81.0,84.0,84.0,83.0,83.0,85.0,81.0,83.0,77.0,67.0,83.0
28867,James,Benson,male,8986837573.0,James_28867@gmail.com,2002-3-22,63.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,3.0,0.0,79.0,79.0,78.0,78.0,80.0,75.0,79.0,77.0,76.0,76.0,79.0,75.0,76.0,80.0,76.0
28868,Kathy,Martinez,female,9116159760.0,Kathy_28868@gmail.com,2004-9-12,60.0,3.0,6.0,5.0,6.0,6.0,6.0,5.0,7.0,0.0,72.0,73.0,72.0,70.0,73.0,71.0,74.0,70.0,73.0,74.0,70.0,70.0,72.0,73.0,72.0
28869,Carla,Wagner,male,6919530497.0,Carla_28869@gmail.com,2003-10-23,51.0,1.0,5.0,5.0,5.0,5.0,6.0,5.0,2.0,0.0,66.0,68.0,65.0,69.0,66.0,65.0,67.0,66.0,65.0,66.0,68.0,68.0,68.0,68.0,68.0
28870,Christopher,Stevenson,female,6284694735.0,Christopher_28870@gmail.com,2003-2-10,48.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,62.0,61.0,64.0,63.0,64.0,63.0,60.0,61.0,61.0,61.0,60.0,64.0,61.0,64.0,61.0
28871,Thomas,Hill,male,6420639473.0,Thomas_28871@gmail.com,2004-2-21,40.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,0.0,57.0,57.0,59.0,55.0,59.0,60.0,59.0,57.0,59.0,60.0,56.0,60.0,58.0,56.0,59.0
28872,Krista,Finley,male,6618674296.0,Krista_28872@gmail.com,2002-6-11,39.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,6.0,0.0,50.0,52.0,54.0,50.0,55.0,50.0,50.0,50.0,51.0,55.0,50.0,53.0,55.0,51.0,54.0
28873,Travis,Taylor,female,9018329527.0,Travis_28873@gmail.com,2002-6-11,30.0,8.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,0.0,50.0,50.0,48.0,47.0,45.0,49.0,49.0,45.0,48.0,48.0,45.0,49.0,45.0,49.0,48.0
28874,Kathleen,Brown,male,9296091518.0,Kathleen_28874@gmail.com,2004-4-28,25.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,10.0,0.0,42.0,43.0,42.0,43.0,45.0,45.0,45.0,42.0,41.0,44.0,40.0,43.0,45.0,42.0,40.0
28875,Anna,Taylor,female,7567330077.0,Anna_28875@gmail.com,2003-12-18,24.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,10.0,0.0,37.0,40.0,40.0,39.0,37.0,35.0,38.0,35.0,36.0,39.0,39.0,40.0,39.0,40.0,40.0
28876,Mark,Weber,male,9368243544.0,Mark_28876@gmail.com,2002-9-15,17.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,9.0,0.0,33.0,33.0,33.0,30.0,30.0,32.0,34.0,35.0,35.0,32.0,35.0,32.0,35.0,34.0,30.0
28877,Sara,Warner,male,8735338461.0,Sara_28877@gmail.com,2002-10-20,10.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,7.0,0.0,29.0,29.0,27.0,28.0,29.0,28.0,30.0,25.0,26.0,30.0,27.0,26.0,30.0,29.0,25.0
28878,Tanya,Mccarthy,male,8353122174.0,Tanya_28878@gmail.com,2002-8-24,8.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,12.0,11.0,15.0,18.0,19.0,20.0,17.0,14.0,17.0,16.0,13.0,13.0,23.0,14.0,19.0
28879,Michael,Winters,male,7548179408.0,Michael_28879@gmail.com,2003-7-20,5.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,0.0,7.0,0.0,3.0,2.0,2.0,8.0,5.0,4.0,7.0,1.0,4.0,8.0,7.0,1.0,1.0
28880,Kimberly,Nelson,female,6977119548.0,Kimberly_28880@gmail.com,2004-10-19,97.0,7.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,0.0,119.0,118.0,114.0,118.0,114.0,112.0,120.0,114.0,111.0,114.0,112.0,120.0,112.0,113.0,116.0
28881,Lisa,Hernandez,male,8967121028.0,Lisa_28881@gmail.com,2002-10-27,90.0,2.0,9.0,9.0,10.0,9.0,9.0,10.0,4.0,0.0,108.0,108.0,105.0,109.0,108.0,108.0,107.0,110.0,107.0,107.0,106.0,110.0,106.0,109.0,108.0
28882,Terri,Cobb,male,6437593340.0,Terri_28882@gmail.com,2003-7-21,90.0,5.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,0.0,100.0,103.0,103.0,100.0,100.0,103.0,103.0,105.0,102.0,101.0,105.0,100.0,102.0,100.0,101.0
28883,Eric,Hatfield,female,6331509417.0,Eric_28883@gmail.com,2002-6-4,81.0,4.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0,0.0,98.0,97.0,96.0,99.0,97.0,99.0,95.0,97.0,98.0,95.0,96.0,97.0,98.0,98.0,95.0
28884,Jennifer,Hammond,male,7621055284.0,Jennifer_28884@gmail.com,2004-9-22,79.0,3.0,8.0,7.0,8.0,8.0,8.0,8.0,2.0,0.0,91.0,95.0,90.0,92.0,95.0,91.0,95.0,92.0,93.0,93.0,92.0,95.0,95.0,94.0,92.0
28885,Terrance,Jones,female,6330492756.0,Terrance_28885@gmail.com,2004-12-21,75.0,0.0,7.0,8.0,7.0,7.0,8.0,7.0,9.0,0.0,88.0,88.0,87.0,85.0,90.0,90.0,89.0,86.0,87.0,90.0,88.0,90.0,87.0,89.0,88.0
28886,Brian,Lozano,female,8501500830.0,Brian_28886@gmail.com,2004-9-27,69.0,3.0,7.0,7.0,7.0,6.0,6.0,6.0,10.0,0.0,84.0,82.0,85.0,83.0,82.0,83.0,82.0,84.0,84.0,83.0,80.0,80.0,71.0,79.0,51.0
28887,Cathy,Murphy,male,7278895813.0,Cathy_28887@gmail.com,2004-11-28,62.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,8.0,0.0,76.0,80.0,78.0,79.0,75.0,79.0,79.0,77.0,75.0,76.0,80.0,80.0,75.0,80.0,79.0
28888,Alexander,Harris,male,7216091235.0,Alexander_28888@gmail.com,2003-1-9,60.0,8.0,6.0,5.0,6.0,5.0,6.0,6.0,9.0,0.0,72.0,72.0,74.0,70.0,73.0,74.0,73.0,72.0,75.0,72.0,75.0,70.0,73.0,73.0,72.0
28889,Lauren,Scott,male,8788295306.0,Lauren_28889@gmail.com,2002-3-25,53.0,1.0,6.0,5.0,5.0,5.0,6.0,5.0,7.0,0.0,65.0,70.0,69.0,70.0,65.0,65.0,70.0,66.0,66.0,69.0,70.0,66.0,66.0,68.0,68.0
28890,Mitchell,Wiley,female,7293315375.0,Mitchell_28890@gmail.com,2003-12-3,50.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,8.0,0.0,61.0,60.0,63.0,65.0,63.0,60.0,63.0,62.0,64.0,62.0,63.0,64.0,60.0,62.0,61.0
28891,Jon,Proctor,male,8940151412.0,Jon_28891@gmail.com,2003-8-7,41.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,0.0,56.0,56.0,55.0,59.0,60.0,55.0,55.0,56.0,56.0,56.0,60.0,55.0,58.0,57.0,57.0
28892,Deborah,Sandoval,female,8224326500.0,Deborah_28892@gmail.com,2002-8-17,40.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,0.0,55.0,53.0,51.0,51.0,52.0,55.0,51.0,55.0,53.0,53.0,51.0,54.0,53.0,52.0,53.0
28893,Raymond,Dominguez,female,7803074912.0,Raymond_28893@gmail.com,2002-10-13,35.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,7.0,0.0,45.0,47.0,47.0,49.0,50.0,49.0,45.0,46.0,48.0,47.0,47.0,45.0,48.0,47.0,49.0
28894,Lisa,Cervantes,female,8361404313.0,Lisa_28894@gmail.com,2004-3-23,28.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,8.0,0.0,45.0,44.0,40.0,42.0,42.0,45.0,41.0,43.0,43.0,41.0,42.0,41.0,43.0,42.0,45.0
28895,Cynthia,Rich,female,9217133894.0,Cynthia_28895@gmail.com,2003-2-18,24.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,7.0,0.0,38.0,40.0,39.0,36.0,39.0,37.0,35.0,37.0,38.0,40.0,40.0,37.0,40.0,40.0,39.0
28896,Hayley,Alexander,male,9315020644.0,Hayley_28896@gmail.com,2004-11-24,15.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33.0,34.0,30.0,30.0,30.0,31.0,31.0,31.0,32.0,30.0,33.0,32.0,32.0,35.0,31.0
28897,Natalie,Rodriguez,male,8112195466.0,Natalie_28897@gmail.com,2003-7-16,15.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,0.0,28.0,30.0,29.0,26.0,28.0,27.0,29.0,29.0,25.0,28.0,25.0,30.0,27.0,30.0,27.0
28898,Cynthia,James,male,7525901930.0,Cynthia_28898@gmail.com,2004-7-3,9.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,24.0,20.0,16.0,22.0,25.0,19.0,14.0,11.0,20.0,22.0,19.0,17.0,14.0,12.0,10.0
28899,Jennifer,Lewis,male,8847294573.0,Jennifer_28899@gmail.com,2003-7-3,5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,8.0,3.0,6.0,1.0,5.0,6.0,7.0,0.0,8.0,3.0,1.0,7.0,1.0,7.0
28900,Paul,Jones,female,6983340149.0,Paul_28900@gmail.com,2002-4-26,97.0,7.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,0.0,114.0,118.0,113.0,111.0,120.0,116.0,120.0,111.0,116.0,118.0,113.0,115.0,120.0,115.0,110.0
28901,David,Robinson,male,7031980251.0,David_28901@gmail.com,2004-3-22,91.0,2.0,9.0,10.0,10.0,9.0,10.0,9.0,4.0,0.0,110.0,109.0,105.0,109.0,105.0,109.0,105.0,107.0,107.0,110.0,107.0,106.0,108.0,105.0,110.0
28902,Cassidy,Calhoun,male,6394423879.0,Cassidy_28902@gmail.com,2003-8-7,87.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,0.0,104.0,100.0,100.0,104.0,103.0,102.0,103.0,102.0,101.0,100.0,100.0,101.0,104.0,105.0,103.0
28903,Jamie,Palmer,female,7988412544.0,Jamie_28903@gmail.com,2004-8-13,83.0,4.0,8.0,8.0,8.0,8.0,9.0,8.0,4.0,0.0,97.0,100.0,98.0,100.0,97.0,97.0,98.0,96.0,97.0,98.0,98.0,96.0,100.0,100.0,98.0
28904,Christina,Flores,female,8572760808.0,Christina_28904@gmail.com,2004-9-12,79.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,9.0,0.0,95.0,91.0,92.0,94.0,90.0,93.0,94.0,90.0,92.0,90.0,92.0,90.0,92.0,94.0,95.0
28905,Abigail,Wells,female,8418750406.0,Abigail_28905@gmail.com,2004-12-12,70.0,3.0,7.0,8.0,8.0,8.0,7.0,8.0,1.0,0.0,86.0,90.0,87.0,89.0,87.0,90.0,85.0,85.0,89.0,87.0,90.0,89.0,87.0,86.0,88.0
28906,Sara,Payne,male,7540288961.0,Sara_28906@gmail.com,2002-3-1,67.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,0.0,84.0,80.0,83.0,82.0,82.0,84.0,81.0,82.0,84.0,81.0,81.0,82.0,58.0,62.0,70.0
28907,Jack,Love,female,6344340283.0,Jack_28907@gmail.com,2003-4-10,61.0,2.0,6.0,6.0,7.0,7.0,7.0,7.0,1.0,0.0,77.0,77.0,75.0,79.0,75.0,75.0,78.0,76.0,79.0,78.0,77.0,76.0,75.0,77.0,77.0
28908,Rebekah,Hayes,female,7590453704.0,Rebekah_28908@gmail.com,2002-10-6,56.0,8.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,0.0,70.0,75.0,71.0,73.0,70.0,75.0,74.0,75.0,70.0,70.0,70.0,71.0,74.0,72.0,70.0
28909,Carolyn,James,male,9140640176.0,Carolyn_28909@gmail.com,2004-11-14,50.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,0.0,66.0,66.0,67.0,68.0,69.0,66.0,68.0,65.0,70.0,65.0,67.0,66.0,70.0,65.0,65.0
28910,John,Dudley,male,8136245360.0,John_28910@gmail.com,2003-12-2,49.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,0.0,65.0,60.0,65.0,62.0,60.0,60.0,63.0,60.0,60.0,63.0,62.0,61.0,65.0,65.0,61.0
28911,Christine,Ross,male,6715006962.0,Christine_28911@gmail.com,2002-2-13,44.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,56.0,60.0,60.0,60.0,59.0,57.0,55.0,56.0,57.0,59.0,59.0,56.0,60.0,56.0,60.0
28912,Jennifer,Finley,male,7396830057.0,Jennifer_28912@gmail.com,2003-8-7,40.0,6.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,0.0,53.0,54.0,50.0,51.0,50.0,51.0,52.0,54.0,55.0,50.0,50.0,52.0,51.0,51.0,54.0
28913,Cory,Turner,male,8946167831.0,Cory_28913@gmail.com,2002-12-11,30.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,0.0,49.0,47.0,46.0,49.0,48.0,49.0,50.0,50.0,49.0,46.0,48.0,47.0,45.0,48.0,49.0
28914,Marie,Morris,female,6344812704.0,Marie_28914@gmail.com,2004-12-18,26.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,6.0,0.0,41.0,41.0,42.0,45.0,44.0,43.0,44.0,45.0,41.0,40.0,45.0,44.0,41.0,43.0,44.0
28915,Brenda,Mclaughlin,male,9105407542.0,Brenda_28915@gmail.com,2004-11-3,25.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,8.0,0.0,35.0,38.0,37.0,36.0,37.0,35.0,36.0,35.0,35.0,40.0,40.0,37.0,35.0,36.0,36.0
28916,Timothy,Baker,female,7122261681.0,Timothy_28916@gmail.com,2004-2-11,20.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,0.0,32.0,30.0,32.0,30.0,35.0,32.0,32.0,32.0,34.0,32.0,30.0,32.0,33.0,33.0,32.0
28917,Jamie,Downs,female,6931851443.0,Jamie_28917@gmail.com,2002-6-11,14.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,27.0,25.0,30.0,25.0,27.0,28.0,27.0,25.0,27.0,25.0,26.0,30.0,26.0,25.0,25.0
28918,Scott,Valenzuela,male,6904284834.0,Scott_28918@gmail.com,2002-7-23,9.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,15.0,25.0,19.0,10.0,21.0,11.0,19.0,10.0,17.0,21.0,19.0,24.0,24.0,10.0,11.0
28919,Patrick,Stewart,male,6531426897.0,Patrick_28919@gmail.com,2002-1-27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,1.0,5.0,0.0,3.0,1.0,1.0,9.0,0.0,8.0,10.0,9.0,4.0,9.0,9.0,1.0
28920,Joseph,Clements,female,9225531198.0,Joseph_28920@gmail.com,2002-8-27,95.0,1.0,10.0,10.0,10.0,9.0,9.0,10.0,7.0,0.0,118.0,120.0,120.0,115.0,111.0,110.0,112.0,118.0,116.0,113.0,111.0,119.0,118.0,110.0,113.0
28921,John,Oliver,female,8216101647.0,John_28921@gmail.com,2003-8-20,93.0,4.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,0.0,106.0,109.0,109.0,105.0,108.0,105.0,110.0,110.0,105.0,110.0,106.0,109.0,106.0,109.0,108.0
28922,Travis,Taylor,female,7315812412.0,Travis_28922@gmail.com,2004-8-3,88.0,3.0,8.0,8.0,8.0,9.0,9.0,8.0,2.0,0.0,100.0,102.0,104.0,105.0,101.0,101.0,101.0,103.0,104.0,103.0,104.0,101.0,103.0,100.0,102.0
28923,James,Richardson,male,7938335215.0,James_28923@gmail.com,2003-7-17,82.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,0.0,98.0,95.0,96.0,100.0,99.0,99.0,98.0,100.0,98.0,99.0,100.0,99.0,99.0,97.0,99.0
28924,Manuel,Chavez,female,7819681641.0,Manuel_28924@gmail.com,2004-1-6,80.0,2.0,8.0,8.0,8.0,8.0,8.0,7.0,4.0,0.0,95.0,93.0,94.0,90.0,93.0,95.0,90.0,92.0,95.0,92.0,92.0,91.0,92.0,94.0,92.0
28925,Patrick,Barton,male,6550065732.0,Patrick_28925@gmail.com,2003-4-3,71.0,1.0,8.0,8.0,7.0,8.0,7.0,7.0,3.0,0.0,85.0,86.0,87.0,89.0,87.0,88.0,85.0,89.0,86.0,88.0,90.0,89.0,90.0,89.0,90.0
28926,Erica,Hansen,female,9043040148.0,Erica_28926@gmail.com,2003-4-22,65.0,5.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,0.0,84.0,80.0,81.0,85.0,83.0,80.0,82.0,82.0,81.0,84.0,85.0,84.0,63.0,77.0,67.0
28927,Tammy,Wells,male,7239460960.0,Tammy_28927@gmail.com,2004-1-19,65.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,8.0,0.0,80.0,80.0,78.0,76.0,78.0,80.0,78.0,78.0,78.0,77.0,75.0,78.0,79.0,76.0,77.0
28928,Jonathan,Benson,male,8420800996.0,Jonathan_28928@gmail.com,2004-3-23,55.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,10.0,0.0,74.0,74.0,74.0,70.0,71.0,70.0,71.0,72.0,75.0,74.0,70.0,71.0,72.0,71.0,71.0
28929,Christina,Hartman,male,7588001606.0,Christina_28929@gmail.com,2004-2-8,50.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,9.0,0.0,67.0,68.0,67.0,67.0,68.0,69.0,69.0,66.0,68.0,65.0,66.0,65.0,68.0,67.0,70.0
28930,Sherry,Gonzalez,female,7130174303.0,Sherry_28930@gmail.com,2003-11-23,49.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,0.0,63.0,62.0,65.0,64.0,63.0,63.0,61.0,65.0,60.0,63.0,62.0,60.0,62.0,60.0,62.0
28931,April,Garcia,male,9014028643.0,April_28931@gmail.com,2003-3-27,41.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,0.0,56.0,55.0,59.0,57.0,55.0,55.0,56.0,57.0,59.0,57.0,55.0,56.0,59.0,55.0,58.0
28932,Alisha,Boyd,male,7425892632.0,Alisha_28932@gmail.com,2003-2-3,37.0,8.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,0.0,52.0,55.0,51.0,51.0,50.0,51.0,50.0,51.0,52.0,50.0,51.0,55.0,51.0,54.0,52.0
28933,Perry,Lane,male,8249330124.0,Perry_28933@gmail.com,2003-10-16,32.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,47.0,45.0,48.0,50.0,49.0,50.0,50.0,46.0,50.0,49.0,50.0,46.0,48.0,49.0,46.0
28934,Heather,Bernard,female,8304404358.0,Heather_28934@gmail.com,2003-4-15,25.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,40.0,43.0,41.0,42.0,45.0,43.0,44.0,43.0,41.0,40.0,42.0,45.0,40.0,42.0,41.0
